Method,rho2,param_y,MAE
KCPA,-0.9,1.5,2.0
Neural-ECF,-0.6,1.5,2.0
MIDAST[KS],-0.6,1.5,10.0
MIDAST[MMD],-0.6,1.5,20.0
e-Divisive,-0.6,1.5,0.0
KCPA,-0.6,1.5,0.0
Neural-ECF,-0.6,1.5,3.0
MIDAST[KS],-0.6,1.5,0.0
MIDAST[MMD],-0.6,1.5,0.0
e-Divisive,-0.6,1.5,0.0
KCPA,-0.6,1.5,0.0
Neural-ECF,-0.6,1.5,32.0
MIDAST[KS],-0.6,1.5,0.0
MIDAST[MMD],-0.6,1.5,150.0
e-Divisive,-0.6,1.5,0.0
KCPA,-0.6,1.5,0.0
Neural-ECF,-0.6,1.5,23.0
MIDAST[KS],-0.6,1.5,0.0
MIDAST[MMD],-0.6,1.5,160.0
e-Divisive,-0.6,1.5,1.0
KCPA,-0.6,1.5,1.0
Neural-ECF,-0.6,1.5,18.0
MIDAST[KS],-0.6,1.5,0.0
MIDAST[MMD],-0.6,1.5,170.0
e-Divisive,-0.6,1.5,0.0
KCPA,-0.6,1.5,0.0
Neural-ECF,-0.6,1.5,11.0
MIDAST[KS],-0.6,1.5,0.0
MIDAST[MMD],-0.6,1.5,160.0
e-Divisive,-0.6,1.5,1.0
KCPA,-0.6,1.5,1.0
Neural-ECF,-0.6,1.5,6.0
MIDAST[KS],-0.6,1.5,0.0
MIDAST[MMD],-0.6,1.5,10.0
e-Divisive,-0.6,1.5,0.0
KCPA,-0.6,1.5,0.0
Neural-ECF,-0.6,1.5,1.0
MIDAST[KS],-0.6,1.5,10.0
MIDAST[MMD],-0.6,1.5,230.0
e-Divisive,-0.6,1.5,0.0
KCPA,-0.6,1.5,0.0
Neural-ECF,-0.6,1.5,18.0
MIDAST[KS],-0.6,1.5,0.0
MIDAST[MMD],-0.6,1.5,140.0
e-Divisive,-0.6,1.5,1.0
KCPA,-0.6,1.5,1.0
Neural-ECF,-0.6,1.5,1.0
MIDAST[KS],-0.6,1.5,10.0
MIDAST[MMD],-0.6,1.5,0.0
e-Divisive,-0.6,1.5,11.0
KCPA,-0.6,1.5,11.0
Neural-ECF,-0.6,1.5,11.0
MIDAST[KS],-0.6,1.5,0.0
MIDAST[MMD],-0.6,1.5,150.0
e-Divisive,-0.6,1.5,0.0
KCPA,-0.6,1.5,0.0
Neural-ECF,-0.6,1.5,7.0
MIDAST[KS],-0.6,1.5,0.0
MIDAST[MMD],-0.6,1.5,0.0
e-Divisive,-0.6,1.5,1.0
KCPA,-0.6,1.5,1.0
Neural-ECF,-0.6,1.5,17.0
MIDAST[KS],-0.6,1.5,0.0
MIDAST[MMD],-0.6,1.5,0.0
e-Divisive,-0.6,1.5,1.0
KCPA,-0.6,1.5,1.0
Neural-ECF,-0.6,1.5,0.0
MIDAST[KS],-0.6,1.5,30.0
MIDAST[MMD],-0.6,1.5,230.0
e-Divisive,-0.6,1.5,6.0
KCPA,-0.6,1.5,6.0
Neural-ECF,-0.6,1.5,8.0
MIDAST[KS],-0.6,1.5,10.0
MIDAST[MMD],-0.6,1.5,140.0
e-Divisive,-0.6,1.5,2.0
KCPA,-0.6,1.5,2.0
Neural-ECF,-0.6,1.5,9.0
MIDAST[KS],-0.6,1.5,0.0
MIDAST[MMD],-0.6,1.5,150.0
e-Divisive,-0.6,1.5,2.0
KCPA,-0.6,1.5,2.0
Neural-ECF,-0.6,1.5,10.0
MIDAST[KS],-0.6,1.5,0.0
MIDAST[MMD],-0.6,1.5,10.0
e-Divisive,-0.6,1.5,8.0
KCPA,-0.6,1.5,8.0
Neural-ECF,-0.6,1.5,7.0
MIDAST[KS],-0.6,1.5,0.0
MIDAST[MMD],-0.6,1.5,180.0
e-Divisive,-0.6,1.5,0.0
KCPA,-0.6,1.5,0.0
Neural-ECF,-0.6,1.5,7.0
MIDAST[KS],-0.6,1.5,10.0
MIDAST[MMD],-0.6,1.5,280.0
e-Divisive,-0.6,1.5,17.0
KCPA,-0.6,1.5,7.0
Neural-ECF,-0.6,1.5,1.0
MIDAST[KS],-0.6,1.5,0.0
MIDAST[MMD],-0.6,1.5,130.0
e-Divisive,-0.6,1.5,1.0
KCPA,-0.6,1.5,1.0
Neural-ECF,-0.6,1.5,11.0
MIDAST[KS],-0.6,1.5,10.0
MIDAST[MMD],-0.6,1.5,10.0
e-Divisive,-0.6,1.5,11.0
KCPA,-0.6,1.5,11.0
Neural-ECF,-0.6,1.5,9.0
MIDAST[KS],-0.6,1.5,10.0
MIDAST[MMD],-0.6,1.5,10.0
e-Divisive,-0.6,1.5,1.0
KCPA,-0.6,1.5,1.0
Neural-ECF,-0.6,1.5,16.0
MIDAST[KS],-0.6,1.5,20.0
MIDAST[MMD],-0.6,1.5,0.0
e-Divisive,-0.6,1.5,2.0
KCPA,-0.6,1.5,2.0
Neural-ECF,-0.6,1.5,12.0
MIDAST[KS],-0.6,1.5,0.0
MIDAST[MMD],-0.6,1.5,170.0
e-Divisive,-0.6,1.5,4.0
KCPA,-0.6,1.5,1.0
Neural-ECF,-0.6,1.5,7.0
MIDAST[KS],-0.6,1.5,0.0
MIDAST[MMD],-0.6,1.5,10.0
e-Divisive,-0.6,1.5,1.0
KCPA,-0.6,1.5,1.0
Neural-ECF,-0.6,1.5,7.0
MIDAST[KS],-0.6,1.5,10.0
MIDAST[MMD],-0.6,1.5,160.0
e-Divisive,-0.6,1.5,5.0
KCPA,-0.6,1.5,5.0
Neural-ECF,-0.6,1.5,2.0
MIDAST[KS],-0.6,1.5,0.0
MIDAST[MMD],-0.6,1.5,50.0
e-Divisive,-0.6,1.5,1.0
KCPA,-0.6,1.5,1.0
Neural-ECF,-0.6,1.5,19.0
MIDAST[KS],-0.6,1.5,0.0
MIDAST[MMD],-0.6,1.5,10.0
e-Divisive,-0.6,1.5,1.0
KCPA,-0.6,1.5,1.0
Neural-ECF,-0.6,1.5,16.0
MIDAST[KS],-0.6,1.5,0.0
MIDAST[MMD],-0.6,1.5,160.0
e-Divisive,-0.6,1.5,1.0
KCPA,-0.6,1.5,1.0
