Method,rho2,alpha2,MAE,time_s
Neural-ECF[argmax],0.9,1.5,15.0,1.6669018268585205
Neural-ECF[peaks],0.9,1.5,15.0,1.6669018268585205
MIDAST[KS],0.9,1.5,,5.3896260261535645
Neural-ECF[argmax],0.9,1.5,5.0,1.6445269584655762
Neural-ECF[peaks],0.9,1.5,5.0,1.6445269584655762
MIDAST[KS],0.9,1.5,,5.210697174072266
Neural-ECF[argmax],0.9,1.5,0.0,1.7053160667419434
Neural-ECF[peaks],0.9,1.5,0.0,1.7053160667419434
MIDAST[KS],0.9,1.5,,5.286126136779785
Neural-ECF[argmax],0.9,1.5,0.0,1.662424087524414
Neural-ECF[peaks],0.9,1.5,0.0,1.662424087524414
MIDAST[KS],0.9,1.5,,5.37464714050293
Neural-ECF[argmax],0.9,1.5,5.0,1.6074738502502441
Neural-ECF[peaks],0.9,1.5,5.0,1.6074738502502441
MIDAST[KS],0.9,1.5,,5.413069009780884
Neural-ECF[argmax],0.9,1.5,15.0,1.6832408905029297
Neural-ECF[peaks],0.9,1.5,15.0,1.6832408905029297
MIDAST[KS],0.9,1.5,,5.285637855529785
Neural-ECF[argmax],0.9,1.5,5.0,1.651784896850586
Neural-ECF[peaks],0.9,1.5,5.0,1.651784896850586
MIDAST[KS],0.9,1.5,,5.312352895736694
Neural-ECF[argmax],0.9,1.5,0.0,1.667834758758545
Neural-ECF[peaks],0.9,1.5,0.0,1.667834758758545
MIDAST[KS],0.9,1.5,,5.3453309535980225
Neural-ECF[argmax],0.9,1.5,5.0,1.612732172012329
Neural-ECF[peaks],0.9,1.5,5.0,1.612732172012329
MIDAST[KS],0.9,1.5,,5.332921981811523
Neural-ECF[argmax],0.9,1.5,10.0,1.6098480224609375
Neural-ECF[peaks],0.9,1.5,10.0,1.6098480224609375
MIDAST[KS],0.9,1.5,,5.331097841262817
Neural-ECF[argmax],0.9,1.5,5.0,1.6253340244293213
Neural-ECF[peaks],0.9,1.5,5.0,1.6253340244293213
MIDAST[KS],0.9,1.5,,5.412066221237183
Neural-ECF[argmax],0.9,1.5,5.0,1.697699785232544
Neural-ECF[peaks],0.9,1.5,5.0,1.697699785232544
MIDAST[KS],0.9,1.5,,5.403693199157715
Neural-ECF[argmax],0.9,1.5,0.0,1.6461889743804932
Neural-ECF[peaks],0.9,1.5,0.0,1.6461889743804932
MIDAST[KS],0.9,1.5,,5.264948129653931
Neural-ECF[argmax],0.9,1.5,15.0,1.6347410678863525
Neural-ECF[peaks],0.9,1.5,15.0,1.6347410678863525
MIDAST[KS],0.9,1.5,,5.34486722946167
Neural-ECF[argmax],0.9,1.5,25.0,1.621994972229004
Neural-ECF[peaks],0.9,1.5,25.0,1.621994972229004
MIDAST[KS],0.9,1.5,,5.269647836685181
Neural-ECF[argmax],0.9,1.5,5.0,1.5946276187896729
Neural-ECF[peaks],0.9,1.5,5.0,1.5946276187896729
MIDAST[KS],0.9,1.5,,5.378472805023193
Neural-ECF[argmax],0.9,1.5,10.0,1.6351468563079834
Neural-ECF[peaks],0.9,1.5,10.0,1.6351468563079834
MIDAST[KS],0.9,1.5,,5.242790222167969
Neural-ECF[argmax],0.9,1.5,0.0,1.6375412940979004
Neural-ECF[peaks],0.9,1.5,0.0,1.6375412940979004
MIDAST[KS],0.9,1.5,,5.233790159225464
Neural-ECF[argmax],0.9,1.5,5.0,1.6626129150390625
Neural-ECF[peaks],0.9,1.5,5.0,1.6626129150390625
MIDAST[KS],0.9,1.5,,5.3541741371154785
Neural-ECF[argmax],0.9,1.5,5.0,1.6154520511627197
Neural-ECF[peaks],0.9,1.5,5.0,1.6154520511627197
MIDAST[KS],0.9,1.5,,5.314323902130127
Neural-ECF[argmax],0.9,1.5,5.0,1.6320021152496338
Neural-ECF[peaks],0.9,1.5,5.0,1.6320021152496338
MIDAST[KS],0.9,1.5,,5.299835205078125
Neural-ECF[argmax],0.9,1.5,0.0,1.6463539600372314
Neural-ECF[peaks],0.9,1.5,0.0,1.6463539600372314
MIDAST[KS],0.9,1.5,,5.330872058868408
Neural-ECF[argmax],0.9,1.5,0.0,1.6694910526275635
Neural-ECF[peaks],0.9,1.5,0.0,1.6694910526275635
MIDAST[KS],0.9,1.5,,5.273461103439331
Neural-ECF[argmax],0.9,1.5,0.0,1.6483688354492188
Neural-ECF[peaks],0.9,1.5,0.0,1.6483688354492188
MIDAST[KS],0.9,1.5,,5.183018922805786
Neural-ECF[argmax],0.9,1.5,5.0,1.6390321254730225
Neural-ECF[peaks],0.9,1.5,5.0,1.6390321254730225
